product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,BRIDGESTONE,,38565225BRM748R,385/65R22.5 BST M748 160 REM,,,,,,,0,220.73,,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,BU,,4103504C2NANCO,410/350X4 NANCO 2PLY,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BU,,50010C8KT715,500-10 KINGS KT715 84N{37},,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BUDGET,,67013C6BUDGET,6.70X13 6PLY BUDGET,,,,,,,0,62.11,,CAR TYRES  13 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BU,,75016C8RIB,750/16 8PLY PROTECTOR 3RIB,,,,,,,0,0,,AGRICULTURAL TYRES  FRONT TRACTOR TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BRIDGESTONE,50223,95175BRR227,9.5R17.5 BST R227 129/127M,9.5,,17.5,M,129/127,R227,0,191.81,R227,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,C3,E,0,C,72,2
tyres,Micheldever - Halifax,CONTINENTAL,4120120000,26570175COLSR1,265/70R17.5 CON LSR1 139/136M,265,70,17.5,M,139,CONTILSR1,0,247.76,LSR1,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,796332,2753019ZMISUPSPT,275/30R19 MICH SUPER 96Y XL,275,30,19,Y,96,SUPER,0,156.87,SUPER SPT,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,A,73,2
tyres,Micheldever - Halifax,CONTINENTAL,3541760000,2754520XCOCSC5,275/45R20 CO SPT 5 SUV 110Y XL,275,45,20,Y,110,COSUV,19,175.75,CO SUV,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,A,73,2
tyres,Micheldever - Halifax,FIRESTONE,,3607024FIPERF70,360/70R24 FSTONE PERF70 122D,360,70,24,D,122,,0,0,PERF70,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BUDGET,,40012C4OC,400-12 VRED V67 OC 4PR,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GOODYEAR,519599,2353519ZGOF1EAGL,235/35R19 GDYR EAGLE F1 87Y N0,235,35,19,Y,87,EAGLEF1,6,120.88,EAGLE F1,CAR TYRES  19 INCH RIM,N,N,C1,F,0,B,70,2
tyres,Micheldever - Halifax,BRIDGESTONE,49087,30018PBRL303,3.00-18 BST L303 47P (F) TT,300,80,18,P,47,L303,3,27.95,L303,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UK PARTS ALLIANCE,,444770751,075 BATTERY,,,,,,,0,0,,BATTERIES  Wet Battery,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,3508660000,2553519ZCOSPC5P,255/35R19 CON SPT 5P 96Y XL MO,255,35,19,Y,96,COSP5P,0,129.5,SPT 5P,CAR TYRES  19 INCH RIM,Y,N,C1,G,0,B,73,2
tyres,Micheldever - Halifax,UNIROYAL,3626780000,2454018ZUNRAIN,245/40R18 UNI RAINSPT 2 97Y XL,245,40,18,Y,97,,2,118.71,RAINSPT2,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,B,72,2
tyres,Micheldever - Halifax,CONTINENTAL,3528010000,2453519ZCOSPT2,245/35R19 CONTI SPT 2* 93Y XL,245,35,19,Y,93,COSPT2,0,134.4,SPORT2,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,B,69,1
tyres,Micheldever - Halifax,UNKNOWN,,24130012C4TURF,24X13.00-12 MAXXIS TURF 4PR,,,,,,,0,0,,AGRICULTURAL TYRES  TURF TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BU,,23910C16ARMOUR,23/9-10 16PLY ARMOUR C.T.F,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BU,,235C10MIT,23.5 10PLY MITAS HIGHWAY{71},,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
