product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,GOODYEAR,528264,2354518ZGOASYMM2,235/45R18 GDYR ASYMM2 98Y XL,235,45,18,Y,98,ASYMM2,0,102.32,ASYMM2,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,A,70,2
tyres,Micheldever - Halifax,BRIDGESTONE,6584,1556020QBREP500,155/60R20 BST EP500 80Q *,155,60,20,Q,80,EP500,0,109.49,EP500,CAR TYRES  19 INCH RIM,N,N,C1,C,0,B,69,2
tyres,Micheldever - Halifax,BRIDGESTONE,1937,2055517VBRLM25,205/55R17 BST LM25 91V (WINTER,205,55,17,V,91,LM25,0,106.42,LM25,CAR TYRES  WINTER CAR,N,N,C1,E,0,B,74,3
tyres,Micheldever - Halifax,AVON,5006015,2356016XAVZEON,235/60R16 COOPER ZEONXTSA 100H,235,60,16,H,100,ZEONX,0,68.8,ZEONX,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,F,0,C,70,2
tyres,Micheldever - Halifax,UNKNOWN,,2155017ZPIP7BLDM,215/50R17 PIR P7CNT BLUE 91WDM,215,50,17,W,91,P7CINTBLUE,0,107.99,P7CINTBLUE,CAR TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,2288800,2555520XPISCOWIN,255/55R20 PIR SC WINTER 110V XL,255,55,20,V,110,SCWINTER,0,206.4,SCWINTER,CAR TYRES  WINTER 4X4,Y,N,C1,C,0,B,73,2
tyres,Micheldever - Halifax,BU,,A17511440TECNRX2,5/114 ET 40 TECNO RX2,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BRIDGESTONE,6498,2556018XBRD840XL,255/60R18 BRSTN D840 108H XL,255,60,18,H,108,D840,0,109.9,D840,CAR TYRES  4X4 ALL WEATHER,Y,N,C1,E,0,E,72,2
tyres,Micheldever - Halifax,BU,,A18512035ZITOBE,8.5 X18 5/120 ZITO BELLAIR,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,802800,1207017VPIMT60,120/70R17 PIR MT60 58V F,120,70,17,V,58,MT60,0,79.82,MT60R,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BRIDGESTONE,6586,1755520QBREP500,175/55R20 BST EP500 85Q *,175,55,20,Q,85,EP500,1,120.41,EP500,CAR TYRES  19 INCH RIM,N,N,C1,B,0,B,69,2
tyres,Micheldever - Halifax,CONTINENTAL,3536440000,1855515TCOTS790W,185/55R15 CONTI TS790 82T WIN,185,55,15,T,82,COTS790,0,65.17,TS790,CAR TYRES  WINTER CAR,N,N,C1,F,0,C,71,2
tyres,Micheldever - Halifax,DUNLOP,556013,2156017R8DULT60,215/60R17 DUNLOP LT60 104/102H,215,60,17,H,104/102,DULT60,0,122.56,DULT60,LIGHT TRUCK TYRES  WINTER VAN,N,N,C2,E,0,C,71,2
tyres,Micheldever - Halifax,YOKOHAMA,E3735,2257516R8YOGO12,225/75R16 YOKO GO12 110/107R,225,75,16,R,110/107,GO12,0,75.08,GO12,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,G,0,B,75,3
tyres,Micheldever - Halifax,BRIDGESTONE,5829,2454019ZBRER300,245/40R19 BST ER300 94Y RFT*,245,40,19,Y,94,ER300,0,153,ER300,CAR TYRES  19 INCH RIM,N,Y,C1,F,0,A,72,3
tyres,Micheldever - Halifax,CONTINENTAL,3530850000,1756514TCOTS800,175/65R14 CONTI TS800 WIN 82T,175,65,14,T,82,COTS800,0,41.13,COTS800,CAR TYRES  WINTER CAR,N,N,C1,C,0,C,71,2
tyres,Micheldever - Halifax,BU,,1955515HBUYW51,195/55R15 JINYU YW51 85H,195,55,15,H,85,YW51,0,0,YW51,CAR TYRES  WINTER CAR,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,BRIDGESTONE,79267,2254517ZBRRE05EZ,225/45R17 BST RE050 EZ 90W,225,45,17,W,90,RE050,0,63.53,RE050,CAR TYRES  17 INCH RIM,N,N,C1,E,0,C,71,2
tyres,Micheldever - Halifax,PIRELLI,2303300,2255519XPISCWIN,225/55R19 PIR SC WINTER 99H,225,55,19,H,99,SCWINTER,0,171.7,SCWINTER,CAR TYRES  WINTER 4X4,N,N,C1,C,0,C,72,2
tyres,Micheldever - Halifax,FALKEN,307741,1855515HBUFAS200,185/55R15 FALKEN AS200 82H AS,185,55,15,H,82,AS200,0,47.85,AS200,CAR TYRES  CAR ALL WEATHER,N,N,C1,F,0,C,72,3
