product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,KIRKBY,,1558024C12MALHO,15.5/80-24 MALHOTRA O/C 12PR,,,,,,,0,0,,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Walsall,BRIDGESTONE,73130,1257016MBRTR3,125/70R16 BST TR3 96M,125,70,16,M,96,TR3,0,41.89,TR3,CAR TYRES  16 Inch Rim,N,N,NA,,0,,0,0
tyres,Walsall,UNKNOWN,,31580225BR249REM,315/80R22.5 BST R249E 154M REM,315,80,225,M,154,R249,0,195.4,R249,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,NA,,0,,0,0
tyres,Walsall,BRIDGESTONE,4950,31570225BRECOHD1,315/70R22.5 BR ECOHD1 154L/52M,315,70,225,LM,154/152,ECOHD1,0,358.56,ECOHD1,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,C3,C,0,C,74,3
tyres,Walsall,YOKOHAMA,H1800,1257017MYOY870C,125/70R17 YOKO Y870C 98M,125,70,17,M,98,Y870C,0,62.2,Y870C,CAR TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,R H CLAYDON,,11225LINGLONGF01,11R22.5 LINGLONG LLF01 148/44M,11,,225,M,148/144,LLF01,0,0,LLF01,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,BRIDGESTONE,4318,1955515ZBRE002FZ,195/55R15 BST RE002 FZ 85W TL,195,55,15,W,85,RE002,0,48.23,RE002,CAR TYRES  15 INCH RIM,N,N,C1,F,0,C,71,2
tyres,Walsall,GOODYEAR,529803,1955515HGOEFFGRP,195/55R15 GDYR EFFICNTGRIP 85H,195,55,15,H,85,EFFGRIP,0,52.21,EFFGRIP,CAR TYRES  15 INCH RIM,N,N,C1,E,0,B,67,1
tyres,Walsall,DUNLOP,526891,2255017ZDUMXTTRO,225/50R17 DLP SMXTT 94WMFSROF*,225,50,17,W,94,SPTMAXXTT,0,116.27,SPTMAXXTT,CAR TYRES  17 INCH RIM,N,Y,C1,E,0,C,67,1
tyres,Walsall,MAXXIS,2760334,10010018MMAM7312,100/100-18 MAX M7312 59M SF/IN,100,100,18,M,59,M7312,0,43.56,M7312,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,NA,,0,,0,0
tyres,Walsall,BRIDGESTONE,72185,1257017MBRTR2,125/70R17 BST TR2 SP SAV 98M,125,70,17,M,98,TR2,0,42.36,TR2,CAR TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,BRIDGESTONE,78642,2254517VBRE050A,225/45R17 BST RE050A SZ 91V,225,45,17,V,91,RE050A,0,64.54,RE050A,CAR TYRES  17 INCH RIM,N,N,C1,G,0,C,72,3
tyres,Walsall,MAXXIS,2760375,1109018MXC7210,110/90-18 CST C7210SRGE 61M,110,90,18,M,61,C7210,0,35.1,C7210,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,MAXXIS,2760371,8010021MASURGE,80/100-21 CST SURGE 51M (F),80,100,21,M,51,C7209,0,24.3,C7209,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,MAXXIS,2760377,1009019MXC7210,100/90-19 CST C7210 63M (R),100,90,19,M,63,C7210,0,33.3,C7210,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,MAXXIS,2760376,12010018MXC7210,120/100-18 CST C7210 68M (R,120,100,18,M,68,C7210,0,40.5,C7210,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,MAXXIS,2760378,1109019MXC7210,110/90-19 CST C7210 62M (R),110,90,19,M,62,C7210,0,36.45,C7210,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,KLEBER,357179,5406524KLGRIPKER,540/65R24 KLEBER GRIPKER 140D,540,65,24,D,140,GRIPKER,0,0,GRIPKER,AGRICULTURAL TYRES  TRACTOR REAR,N,N,NA,,0,,0,0
tyres,Walsall,HANKOOK,1013522,2355517XHKRA33,235/55R17 HANKOOK RA33 103H XL,235,55,17,H,103,RA33,0,87.8,RA33,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,B,0,C,70,2
tyres,Walsall,CONTINENTAL,3540100000,2355019XCOXCNUHP,235/50R19 CONTI XCNT UHP 99VMO,235,50,19,V,99,COXCNUHP,0,151.71,COXCNUHP,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,B,72,3
