product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,KUMHO,2132693,16513TBUKUKH17,165/80R13 KUMHO KH17 87T XL,165,80,13,T,87,KH17,2,24.4,KH17,CAR TYRES  13 INCH RIM,Y,N,C1,E,0,E,71,2
tyres,Walsall,KUMHO,2151053,2355017ZBUKUKU39,235/50R17 KUMHO KU39 96Y,235,50,17,Y,96,KU39,2,69.75,KU39,CAR TYRES  17 INCH RIM,N,N,C1,C,0,B,72,3
tyres,Walsall,KUMHO,2151353,2753519ZBUKUKU39,275/35R19 KUMHO KU39 100Y XL,275,35,19,Y,85,KU39,2,100.35,KU39,CAR TYRES  19 INCH RIM,Y,N,C1,C,0,A,72,2
tyres,Walsall,BRIDGESTONE,4754,2055516HBRT001,205/55R16 BST T001 91H,205,55,16,H,91,T001,2,41.45,T001,CAR TYRES  16 Inch Rim,N,N,C1,C,0,B,71,2
tyres,Walsall,CONTINENTAL,3529530000,2454018ZCOSPT5XL,245/40R18 CONTI SPT 5 97Y XL,245,40,18,Y,97,COSPT5,0,101.7,COSPT5,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,A,72,2
tyres,Walsall,GOODYEAR,524363,2255517ZGOEXELLS,225/55R17 GDYR EXCELLENCE 97W*,225,55,17,W,97,EXCEL,0,95.36,EXCEL,CAR TYRES  17 INCH RIM,N,N,C1,E,0,C,69,2
tyres,Walsall,PIRELLI,2210300,1206017HPIDBROS2,120/60R17 PIR DIAB ROSS2 55H R,120,60,17,H,55,DIAROSSO2,0,62.15,DIAROSSO2,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,556580,2653521ZMIPLSPT2,265/35R21 MICH PSPT2 101Y XL,265,35,21,Y,101,PILSPT2,0,226.72,PILSPT2,CAR TYRES  19 INCH RIM,Y,N,C1,C,0,A,70,1
tyres,Walsall,MICHELIN,886770,3053021ZMIPISP2X,305/30R21 MICH PILSPT2 104Y XL,305,30,21,Y,104,PILSPT2,0,275.66,PILSPT2,CAR TYRES  19 INCH RIM,Y,N,C1,C,0,A,74,2
tyres,Walsall,CONTINENTAL,3562420000,1856515HCOPREM5,185/65R15 CONTI PREMIUM 5 88H,185,65,15,H,88,COPREM5,0,49.91,COPREM5,CAR TYRES  15 INCH RIM,N,N,C1,C,0,A,70,2
tyres,Walsall,TRIDENT,730100,4207028TRELLEBOR,420/70R28 TRELLBORG TM700 133D,420,70,28,D,133,TM700,0,0,TM700,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Walsall,BUDGET,,21575175BUGRCR96,215/75R17.5 G/RIDE CR960A 135J,215,75,17.5,J,135/133,,0,116.84,CR960A,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,CONTINENTAL,2440640000,1606018ZCORDATT2,160/60R18 CON RDATK2 70W(R)TL,160,60,18,W,70,RDATTK2,0,84,RDATTK2,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,GT RADIAL,,11225BUGT686DR,11R22.5 GT 686 DR 148M,11,,22.5,M,148,,0,0,GT686,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,GT RADIAL,,12225BUGT659+DR,12R22.5 GT 659+ DR 152M,12,,22.5,M,152,,0,230,GT659+,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,GT RADIAL,,24570195BUGT279T,245/70R19.5 GT 279 TR 141J,245,70,19.5,J,141,,0,0,GT279,HEAVY TRUCK TYRES  19/19.5 INCH RIM,N,N,C3,D,0,C,70,1
tyres,Walsall,VREDESTEIN,8.71469E+12,60055225VRED16PL,600/55-22.5 VRED FLOT+ 16A8,600,55,22.5,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,CGS TYRES UK LTD,,5406528RMITASRD0,540/65R28 MITAS RD03 142D,540,65,28,D,142,,0,0,RD03,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Walsall,SAVA,566841,29580225SAAVNTA4,295/80R22.5 SAVA AVANT A4 148M,295,80,225,M,148/152,AVANT,0,249.7,AVANT,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,C3,C,0,C,71,2
tyres,Walsall,KIRKBY,,3208532BKTRT855,320/85R32 BKT AGMX RT855 126A8,320,85,32,A8,126/123,RT855,0,0,RT855,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
