product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,KIRKBY,,7107042RALL365TL,710/70R42 ALLIANCE 365 173A8,710,70,42,A8,173,,0,0,365,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Micheldever - Halifax,SOUTHERN,,B36116775654,BMW GENUINE WHEEL,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,AVON,4240097,2553518ZAVZZ5XL,255/35R18 AVON ZZ5 94Y XL,255,35,18,Y,94,ZZ5,0,111.81,ZZ5,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,B,71,2
tyres,Micheldever - Halifax,OZ RACING,,A18511435MSW11,8X18 MSW 11 5X114 3 ET35,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,OZ RACING,,WFK81720097,OZ FITTING KIT 81720097,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,SEMPERIT,5758450000,27570225SEM470,275/70R22.5 SEMP M470 148/145L,275,70,225,L,148/145,M470,0,266.57,M470,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,2400950000,1307017HCOTWSPT,130/70-17 CONTI TWIST SPT SM 62H R,130,70,17,H,62,CONTWIST,0,39,TWIST,MOTORCYCLE TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,R H CLAYDON,,271012BKTPTHD16P,27X10-12 BKT PT-HD 16PLY T/T,,,,,,,0,0,,AGRICULTURAL TYRES  TURF TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,R H CLAYDON,,3607024BKTRT765,360/70R24 BKT RT765 AGRI 122A8,360,70,24,A8,122,,0,0,RT765 AGRI,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,3507400000,2453518ZCOCSC5MO,245/35R18 CONT SPT 5 92Y MO XL,245,35,18,Y,92,COSPT5,36,111.95,SPT 5,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,B,72,2
tyres,Micheldever - Halifax,MICHELIN,942905,2953520ZMISUSPK1,295/35R20 MICH SUSPT 105Y XLK1,295,35,20,Y,105,SUPER,0,272.93,SUPER SPT,CAR TYRES  19 INCH RIM,Y,N,C1,C,0,B,73,2
tyres,Micheldever - Halifax,AUTOGRIP,AG102P1304,1656513TBUAGR102,165/65R13 AUTOGRIP R102 77T,165,65,13,T,77,R102,0,16.71,R102,CAR TYRES  13 INCH RIM,N,N,C1,E,0,E,74,3
tyres,Micheldever - Halifax,AUTOGRIP,AG102P1402,1656514TBUAGR102,165/65R14 AUTOGRIP R102 79T,165,65,14,T,79,R102,42,17.95,R102,CAR TYRES  14 Inch Rim,N,N,C1,E,0,E,74,3
tyres,Micheldever - Halifax,MICHELIN,938008,2055516VMIPRIHPA,205/55R16 MICH PRIM HP 'A' 91V,205,55,16,V,91,PRIMHP,0,49.95,PRIMHP,CAR TYRES  16 Inch Rim,N,N,C1,E,0,B,70,2
tyres,Micheldever - Halifax,HANKOOK,3001465,95175LBUHKAH11,9.5R17.5 HANKOOK AH11 131/129L,9.5,,17.5,L,131/129,AH11,0,148.61,AH11,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,C3,D,0,C,67,1
tyres,Micheldever - Halifax,MICHELIN,,206317MISA00,20/63R17 MICH SA00 RACE,20,63,17,,,,0,0,SA00,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,,276518MIS9D,27/65R18 MICH S9LL RACE,27,65,181,,,,0,0,S9H,CAR TYRES  CAR COMPETION TYRES Road,N,N,,,0,,0,0
tyres,Micheldever - Halifax,OZ RACING,,A19511232OZULTH,10X19 OZULTHLTCL 5-112 ET32,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,OZ RACING,,A19511232OZULTHL,8.5X19 OZ ULTHLT 5-112 ET32,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,OZ RACING,,WFK81710414,OZ FITTING KIT 81710414,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
