product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,DUNLOP,,12517DUWETKR191,125/80R17 DNLP KR191 WET F,125,80,17,R,,KR191,0,0,KR191,MOTORCYCLE TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,DUNLOP,,1905517DUKR393R,190/55R17 DUNLP KR393 WET R,190,55,17,,,KR393,0,0,KR393,MOTORCYCLE TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,BUDGET,,1556513TBUEXCEL,155/65R13 EXCELON TOURING HP 73T,155,65,13,T,73,TOURING,16,15.95,TOURING,CAR TYRES  13 INCH RIM,N,N,C1,,0,,0,0
tyres,Micheldever - Halifax,METZELER,1806700,1309015SMELASER,130/90-15 METZ LASERTEC 66S R,130,90,15,S,66,LASERTEC,0,61.55,LASERTEC,MOTORCYCLE TYRES  15 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,44770270,NON STOCK ITEM - WET BATTERY,,,,,,,0,0,,BATTERIES  Wet Battery,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,74073,2254018VBFGFORWN,225/40R18 BFG G-FOR WIN 92VXL,225,40,18,V,92,GFORCEWINTER,0,88.19,GFORCEWINTER,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,C,71,2
tyres,Micheldever - Halifax,BU,,2353020ZBUNS20,235/30R20 NANKANG NS20 88Y,235,30,20,Y,88,NS20,0,0,NS20,CAR TYRES  19 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,BU,,2853020ZBUNSII,285/30R20 NANKANG NSII 97Y,285,30,20,Y,97,NSII,0,97.95,NSII,CAR TYRES  19 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MBD GROUP LIMITED,,ACID PACK,ACID PACK,,,,,,,0,0,,BATTERIES  Battery Accessories,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BUDGET,1200032126,1657012TBUZEETEX,165/70R12 ZEETEX ZT2000 77T,165,70,12,T,77,ZT2000,0,25.75,ZT2000,CAR TYRES  12 INCH RIM,N,N,C1,F,0,E,68,2
tyres,Micheldever - Halifax,BUDGET,1200032140,1955516VBUZEETEX,195/55R16 ZEETEX ZT2000 87V,195,50,16,V,87,ZT2000,0,26.95,ZT2000,CAR TYRES  16 Inch Rim,N,N,C1,E,0,C,69,2
tyres,Micheldever - Halifax,BUDGET,1200032176,1957516R8BUZEETX,195/75R16 ZEETEX CT1000 107/105S,195,75,16,S,107/105,CT1000,0,0,CT1000,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,C,0,B,71,2
tyres,Micheldever - Halifax,BUDGET,1200032187,2255018VBUZEETEX,225/50R18 ZEETEX HP1000 99V XL,225,50,18,V,99,HP1000,0,38.95,HP1000,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,B,68,1
tyres,Micheldever - Halifax,BUDGET,1200032191,2355018ZBUZEETEX,235/50R18 ZEETEX HP1000 97W,235,50,18,W,97,HP1000,0,0,HP1000,CAR TYRES  18 Inch Rim,N,N,C1,C,0,B,69,2
tyres,Micheldever - Halifax,BUDGET,1200032192,2454017ZBUZEETEX,245/40R17 ZEETEX HP1000 91W,245,40,17,W,91,HP1000,0,39.95,HP1000,CAR TYRES  17 INCH RIM,N,N,C1,E,0,B,69,2
tyres,Micheldever - Halifax,BUDGET,1200032202,2554520XBUZEETEX,255/45R20 ZEETEX SU1000 105V XL,255,42,20,V,105,SU1000,0,85.95,SU1000,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,B,72,1
tyres,Micheldever - Halifax,BUDGET,1200032203,2555019ZBUZEETEX,255/50R19 ZEETEX SU1000 107W XL,255,50,19,W,107,SU1000,0,0,SU1000,CAR TYRES  19 INCH RIM,Y,N,C1,C,0,B,71,2
tyres,Micheldever - Halifax,BUDGET,,1855514VBUZEETEX,185/55R14 ZEETEX ZT1000 80V,185,55,14,V,80,ZT1000,0,21.95,ZT1000,CAR TYRES  14 Inch Rim,N,N,C1,E,0,E,70,2
tyres,Micheldever - Halifax,BUDGET,,1855515VBUZEETEX,185/55R15 ZEETEX ZT1000 82V,185,55,15,V,82,ZT1000,0,19.45,ZT1000,CAR TYRES  15 INCH RIM,N,N,C1,E,0,E,70,2
tyres,Micheldever - Halifax,BUDGET,1200023624,1856014HBUZEETEX,185/60R14 ZEETEX ZT1000 82H,185,60,14,H,82,ZT1000,0,18.75,ZT1000,CAR TYRES  14 Inch Rim,N,N,C1,F,0,C,72,3
