product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,UNIROYAL,3623050000,2155516ZUNRAINSP,215/55R16 UNI RAINSPORT 93W,215,55,16,W,93,RAINSPT,0,0,RAINSPORT,CAR TYRES  16 Inch Rim,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,380613,2556516XMILATCRS,255/65R16 MICH LATCROSS 113HXL,255,65,16,H,113,LATCROSS,1,85.55,LATCROSS,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,C,71,2
tyres,Micheldever - Halifax,MICHELIN,918970,2353520ZMISUPSPT,235/35R20 MICH PIL SUPSPRT 88Y,235,35,20,Y,88,SUPER,0,160.26,SUPER,CAR TYRES  19 INCH RIM,N,N,C1,F,0,A,71,2
tyres,Micheldever - Halifax,UNKNOWN,,S165165TGBLKMO8",8X16 TG BLK MOD 5-165 ET00,,,,,,,0,0,,WHEELS & RIMS  4X4 WHEELS - STEEL,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,S165165TGSILMOD8,8X16 TG SIL MOD 5-165 ET00,,,,,,,50,0,,WHEELS & RIMS  4X4 WHEELS - STEEL,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,351657,2255517ZMIPRIM3A,225/55R17 MICH PRIM 3 97Y AO,225,55,17,Y,97,PRIMACY,3,99.33,PRIMACY,CAR TYRES  17 INCH RIM,N,N,C1,C,0,A,69,2
tyres,Micheldever - Halifax,MAXXIS,2760619,1308012JMAM6036,130/80-12 MAXXIS M6036 60J,130,80,12,J,60,M6036,0,35.15,M6036,MOTORCYCLE TYRES  12 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,AVON,51761,2557015XAVDISAT3,255/70R15 COOPER DISC AT3 108T,255,70,15,T,108,AT3,0,74.69,AT3,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,E,72,2
tyres,Micheldever - Halifax,VREDESTEIN,8.71469E+12,2154517VVRQUATR3,215/45R17 VRED QUATRAC 3 91VXL,215,45,17,V,91,QUATRAC3,0,104.48,QUATRAC3,CAR TYRES  17 INCH RIM,Y,N,C1,E,0,C,68,1
tyres,Micheldever - Halifax,VREDESTEIN,,2255517HVRWINTRA,225/55R17 VRED WINTRA4EXTR 97H,225,55,17,H,97,WINTRAC4EXTR,0,133.57,WINTRAC4EXTREME,CAR TYRES  WINTER CAR,N,N,C1,E,0,E,71,2
tyres,Micheldever - Halifax,BRIDGESTONE,6411,2254517ZBRS001Y,225/45R17 BST S001 91Y,225,45,17,Y,98,S001,48,59.95,S001,CAR TYRES  17 INCH RIM,N,N,C1,F,0,A,71,2
tyres,Micheldever - Halifax,DUNLOP,560764,2853521XDUSPMX,285/35R21 DLOP SPTMAX 105Y MFS,285,35,21,Y,105,SPTMAX,0,246.02,SPTMAX,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,E,0,A,70,1
tyres,Micheldever - Halifax,GENERAL,4502430000,2456517XGEGRBGT,245/65R17 GEN GT [1] 111V XL,245,65,17,V,111,GENGT,1,85.75,GENGT,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,GOODYEAR,528502,2055516HGOEFPERF,205/55R16 GDYR EFPERF 91H,205,55,16,H,91,EFPERF,43,43.51,EFPERF,CAR TYRES  16 Inch Rim,N,N,C1,B,0,A,68,1
tyres,Micheldever - Halifax,FIRESTONE,5870,2055016VFITZ300V,205/50R16 FST TZ300 87V,205,50,16,V,87,TZ300,0,51.59,TZ300,CAR TYRES  16 Inch Rim,N,N,C1,E,0,B,72,3
tyres,Micheldever - Halifax,BRIDGESTONE,4751,2056515VBRT001TL,205/65R15 BST T001 94V TL,205,65,15,V,94,T001,1,58.88,T001,CAR TYRES  15 INCH RIM,N,N,C1,C,0,B,71,2
tyres,Micheldever - Halifax,MICHELIN,,246519MIS8A,24/65R19 MICH S8A,24,69,19,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,,317119MIS8H,31/71R19 MICH S8H,31,71,19,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,BY50N18L-A,MOTORCYCLE BATTERY Y50N18L-A,,,,,,,0,0,,BATTERIES  Motorcycle Batterries,N,N,,,0,,0,0
tyres,Micheldever - Halifax,YOKOHAMA,F5893,2454518ZYOV105SP,245/45R18 YOKO V105S 100Y XL,245,45,18,Y,100,V105,8,122.64,V105,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,A,72,2
