product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,BRIDGESTONE,3651,1756514TBRA001,175/65R14 BST A001 82T (AS),175,65,14,T,82,A001,0,35.25,A001,CAR TYRES  CAR ALL WEATHER,N,N,C1,F,0,B,71,3
tyres,Walsall,BRIDGESTONE,3654,1956515HBRA001,195/65R15 BST A001 91H (AS),195,65,15,H,91,A001,0,42.24,A001,CAR TYRES  CAR ALL WEATHER,N,N,C1,E,0,B,72,3
tyres,Walsall,UNKNOWN,,CV549,1175 X 22.5 WHEEL,,,,,,,0,0,,WHEELS & RIMS  TRUCK WHEELS,N,N,,,0,,0,0
tyres,Walsall,OZ RACING,,A17511445MSW20-5,8X17 MSW20/5 MBDC 5X114 ET45,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,GOODYEAR,562717,11225LGORHD2,11R22.5 GDYR RHD2 148/145L (D),11,80,22.5,L,148/145,RHD2,0,304.95,RHD2,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,GOODYEAR,561851,11225LGORHS2,11R22.5 GDYR RHS2 148/145L (S),11,80,22.5,L,148/145,RHS2,0,323.68,RHS2,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,C3,C,0,B,69,1
tyres,Walsall,PIRELLI,1874400,2454020ZPIPZEROX,245/40R20 PIR PZERO* 99Y XL RFT,245,40,20,Y,99,PZERO,0,199.84,PZERO,CAR TYRES  19 INCH RIM,Y,Y,C1,E,0,B,72,2
tyres,Walsall,EUROPA,,28915TBORGT900,28X9-15 TRELLEBORG T900,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,OZ RACING,,A14410038MSW19W,6X14 MSW19W 4X100 ET38,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,RIMSTOCK ALLOY WHEELS,,A18510038TDMONZA,8X18 TEAM DY MONZA 5-100 ET38,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,DUNLOP,622273,809021HDUD404J,80/90-21 DLOP D404F J 48H (F),80,90,21,H,48,D404FJ,0,71.5,D404F J,MOTORCYCLE TYRES  21 INCH RIM & ABOVE,N,N,,,0,,0,0
tyres,Walsall,AVON,2748812,909019HAVAM20,90/90-19 AVON RDRUN AM20 52H F,90,90,19,H,52,AM20,0,47,AM20,MOTORCYCLE TYRES  19 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,PIRELLI,1812300,1956015VPIP6CINT,195/60R15 PIR P6 CINT 88V,195,60,15,V,88,P6CINT,2,48.97,P6CINT,CAR TYRES  15 INCH RIM,N,N,C1,F,0,E,71,2
tyres,Walsall,R H CLAYDON,,2609013TBORGAF30,260/90-13 TRELLEBORG AF302 109,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,CONTINENTAL,2485910000,1308017HCOESCAPE,130/80-17 CON ESCAPE 65H (R)TL,130,80,17,H,65,CONTIESCAPE,0,52,ESCAPE,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,189604,2353519ZMIPILCUP,235/35R19 MICH PILOT CUP 87Y,235,35,19,Y,87,PILOT CUP,1,0,PILOT CUP,CAR TYRES  CAR COMPETION TYRES Road,N,N,C1,F,0,C,75,3
tyres,Walsall,BRIDGESTONE,77319,2455018ZBRER42RF,245/50R18 BST ER42 RFT 100W,245,50,18,W,100,ER42,0,151.38,ER42,CAR TYRES  18 Inch Rim,N,Y,C1,E,0,E,70,2
tyres,Walsall,YOKOHAMA,K9524,2554019ZYOAVSAML,255/40R19 YOKO V102 SPT AML,255,40,19,ZR,,V102,0,179.24,V102,CAR TYRES  19 INCH RIM,N,N,C1,E,0,A,73,2
tyres,Walsall,UNKNOWN,,T9221100SMVTR6TU,22/1100-9 SMV TR6 TUBE,,,,,,,0,0,,TUBES  AGRICULTRUAL TUBES,N,N,,,0,,0,0
tyres,Walsall,UNKNOWN,,T1020800SMVTR6TU,20/800-10 SMV TR6 TUBE,,,,,,,0,0,,TUBES  AGRI TUBES - SPECIALS,N,N,,,0,,0,0
