product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,GENERAL,15527500000,2454017ZGEALTSPT,245/40R17 GEN ALT SPORT 91Y,245,40,17,Y,91,ALTSPT,0,54,ALTIMAX SPORT,CAR TYRES  17 INCH RIM,N,N,C1,E,0,C,71,2
tyres,Micheldever - Halifax,GENERAL,15527510000,2454018ZGEALTSPT,245/40R18 GEN ALT SPORT 93Y,245,40,18,Y,93,ALTSPT,41,65.2,ALTIMAX SPORT,CAR TYRES  18 Inch Rim,N,N,C1,E,0,C,71,2
tyres,Micheldever - Halifax,GENERAL,15527520000,2454018ZGEALTSXL,245/40R18 GEN ALT SPT 97Y XL,245,40,18,Y,97,ALTSPT,40,68.1,ALTIMAX SPORT,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,GENERAL,15527530000,2454019ZGEALTSXL,245/40R19 GEN ALT SPT 98Y XL,245,40,19,Y,98,ALTSPT,31,87.65,ALTIMAX SPORT,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,GENERAL,15527540000,2454517ZGEALTSPT,245/45R17 GEN ALT SPORT 95Y,245,45,17,Y,95,ALTSPT,40,54.95,ALTIMAX SPORT,CAR TYRES  17 INCH RIM,N,N,C1,E,0,C,71,2
tyres,Micheldever - Halifax,GENERAL,15527560000,2454517ZGEALTSXL,245/45R17 GEN ALT SPT 99Y XL,245,45,17,Y,99,ALTSPT,27,58.3,ALTIMAX SPORT,CAR TYRES  17 INCH RIM,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,GENERAL,15527570000,2454518ZGEALTSXL,245/45R18 GEN ALT SPT 100Y XL,245,45,18,Y,100,ALTSPT,40,68,ALTIMAX SPORT,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,GENERAL,15527580000,2553518ZGEALTSXL,255/35R18 GEN ALT SPT 94Y XL,255,35,18,Y,94,ALTSPT,21,76,APLITMAX SPORT,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,C,73,2
tyres,Micheldever - Halifax,GENERAL,15527590000,2553519ZGEALTSXL,255/35R19 GEN ALT SPT 96Y XL,255,35,19,Y,96,ALTSPT,50,87.75,ALTIMAX SPORT,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,C,73,2
tyres,Micheldever - Halifax,GENERAL,15527670000,2553520ZGEALTSXL,255/35R20 GEN ALT SPT 97Y XL,255,35,20,Y,97,ALTSPT,0,87.6,ALTIMAX SPORT,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,C,73,2
tyres,Micheldever - Halifax,GENERAL,15527680000,2554019ZGEALTSXL,255/40R19 GEN ALT SPT 100Y XL,255,40,19,Y,100,ALTSPT,28,87.5,ALTIMAX SPORT,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,C,73,2
tyres,Micheldever - Halifax,PIRELLI,2188100,2156516R8PICHRO2,215/65R16 PIR CHRONO2 109/107R,215,65,16,R,109/107,CHRONO2,0,92.42,CHRONO2,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,C,0,B,72,2
tyres,Micheldever - Halifax,AUTOGRIP,AG600P1802,2254018ZBUAG600,225/40R18 AUTOGRP GRP600 92WXL,225,40,18,W,92,GRIP600,0,25.45,GRIP600,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,R H CLAYDON,,2709532BKTRT955,270/95R32 BKT AGRIMAX 136A8 TL,,,,,,,0,0,,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,309737,31570225MI3DXDE,315/70R22.5 MI MW3DXDE 154L RM,315,70,22.5,L,154/150,XDE,0,267.47,XDE,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,C2,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,118710,2357016XMILATCRS,235/70R16 MICH LATCROSS 106H,235,70,16,H,106,LATCROSS,0,81.08,LATCROSS,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,C,71,2
tyres,Micheldever - Halifax,AUTOGRIP,AG100P1303,15513TBUAG100,155/80R13 AUTOGRIP GRIP100 79T,155,80,13,T,79,GRIP100,50,17.45,GRIP100,CAR TYRES  13 INCH RIM,N,N,C1,F,0,C,72,3
tyres,Micheldever - Halifax,AUTOGRIP,AG100P1301,1556513TBUAG100,155/65R13 AUTOGRIP GRIP100 73T,155,65,13,T,73,GRIP100,50,16.95,GRIP100,CAR TYRES  13 INCH RIM,N,N,C1,F,0,C,72,3
tyres,Micheldever - Halifax,AUTOGRIP,AG100P1302,1557013TBUAG100,155/70R13 AUTOGRIP GRIP100 75T,155,70,13,T,75,GRIP100,0,15.95,GRIP100,CAR TYRES  13 INCH RIM,N,N,C1,F,0,C,72,3
tyres,Micheldever - Halifax,AUTOGRIP,AG100P1305,1657013TBUAG100,165/70R13 AUTOGRIP GRIP100 79T,165,70,13,T,79,GRIP100,50,16.65,GRIP100,CAR TYRES  13 INCH RIM,N,N,C1,F,0,C,72,3
