product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,DUNLOP,N566934,N1957516R8DUECON,195/75R16 DLOP ECONO 107/105R N,195,75,16,R,107,ECONODRIVE,0,65.42,ECONODRIVE,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,C,70,2
tyres,Walsall,UNKNOWN,,2055516VBUGTVPDM,205/55R16 GT CHAMP VP1 91V DEMOU,205,55,16,V,91,VP1,0,29.5,VP1,CAR TYRES  16 Inch Rim,N,N,NA,,0,,0,0
tyres,Walsall,PIRELLI,2404300,2553519ZPIPZAOKA,255/35R19 PIR PZERO AO KA 96Y XL,255,35,19,Y,96,PZEROAOKA,4,128.15,PZEROAOKA,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,B,73,2
tyres,Walsall,BUDGET,,4057020SOLID4L13,405/70-20 SOLIDEAL 14PR 4L13,405,70,20,,14PR,4L13,0,0,4L13,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,FALKEN,313989,2155517VBUFAAS20,215/55R17 FALKEN AS200 98V XL AS,215,55,17,V,98,AS200,0,80.95,AS200,CAR TYRES  CAR ALL WEATHER,Y,N,C1,F,0,C,74,3
tyres,Walsall,FALKEN,314009,2055017VBUFAAS20,205/50R17 FALKEN AS200 93V XL AS,205,50,17,V,93,AS200,0,69.95,AS200,CAR TYRES  CAR ALL WEATHER,Y,N,C1,F,0,C,73,3
tyres,Walsall,FALKEN,313609,2155017VBUFAAS20,215/50R17 FALKEN AS200 95V XL AS,215,50,17,V,95,AS200,0,78.95,AS200,CAR TYRES  CAR ALL WEATHER,Y,N,C1,F,0,C,73,3
tyres,Walsall,FALKEN,314001,2255516VBUFAAS20,225/55R16 FALKEN AS200 99V XL AS,225,55,16,V,99,AS200,0,71.95,AS200,CAR TYRES  CAR ALL WEATHER,Y,N,C1,F,0,C,73,3
tyres,Walsall,FALKEN,313999,2256517XBUFAAS20,225/65R17 FALKEN AS200 101V AS,225,65,17,V,101,AS200,0,78.95,AS200,CAR TYRES  4X4 ALL WEATHER,N,N,C1,F,0,C,71,2
tyres,Walsall,FALKEN,313635,1656515TBUFAAS20,165/65R15 FALKEN AS200 81T AS,165,65,15,T,81,AS200,0,36.95,AS200,CAR TYRES  CAR ALL WEATHER,N,N,C1,F,0,C,71,2
tyres,Walsall,FALKEN,314011,2356517XBUFAAS20,235/65R17 FALKEN AS200 108V XL AS,235,65,17,V,108,AS200,0,84.95,AS200,CAR TYRES  4X4 ALL WEATHER,Y,N,C1,F,0,C,71,2
tyres,Walsall,GOODYEAR,526848,2155517ZGOEFGPFP,215/55R17 GDYR EFFIGRIP FP 94W,215,55,17,W,94,EFFGRIP,0,88.75,EFFGRIPFP,CAR TYRES  17 INCH RIM,N,N,C1,C,0,B,68,1
tyres,Walsall,PIRELLI,,100020TTPIFG85,10.00R20 PIR FG85 146/143K,10,0,20,K,146/143,FG85,0,0,FG85,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,NA,,0,,0,0
tyres,Walsall,CGS TYRES UK LTD,,187008BUOCASSM,18X700-8 CONTI AS-FM O/C 4PR TL,18,700,8,,,OCASSM,0,0,OCASSM,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,NA,,0,,0,0
tyres,Walsall,MICHELIN,964349,3153520XMILATSP3,315/35R20 MICH LATSPT 110W XL,315,35,20,W,110,LATSPORT3,0,218.09,LATSPORT3,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,A,70,1
tyres,Walsall,UNKNOWN,,T14350400,3.50 - 410X14,,,,,,,0,0,,TUBES  MOTORCYCLE TUBES,N,N,,,0,,0,0
tyres,Walsall,BRIDGESTONE,7045,2157516R8BRR660,215/75R16 BGST R660 113/111R,215,75,16,R,113/111,R660,0,88.83,R660,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,C,0,B,72,2
tyres,Walsall,STARCO GB LTD,,26120012C10K395,26/12.00-12 KENDA K395 P/G 10PR TL,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,PIRELLI,2298200,2555518XPISCVRFT,255/55R18 PIR SCVRD 109VXLRFT*,255,55,18,V,109,VERDE,0,118.41,VERDE,CAR TYRES  4 WHEEL DRIVE TYRES,Y,Y,C1,C,0,B,72,2
tyres,Walsall,HANKOOK,101447,2554518ZHKK117,255/45R18 HKOOK K117 103Y,255,45,18,Y,103,K117,0,127.29,K117,CAR TYRES  18 Inch Rim,N,N,C1,E,0,A,73,2
