product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,OZ RACING,,WFK81710487,OZ FITTING KIT 81710487,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,2328900,2055516VPIP7CINT,205/55R16 PIR P7 CINT 91V,205,55,16,V,91,P7CINT,50,42.75,P7CINT,CAR TYRES  16 Inch Rim,N,N,C1,C,0,B,70,2
tyres,Micheldever - Halifax,BUDGET,,31570225BUECODRI,315/70R22.5 ECONOMY DRIVE,315,70,22.5,,152/148,DRIVE,0,232,DRIVE,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,1822900,1407012PPIDIASCO,140/70-12 PIR DIA SCT 65P R RF,140,70,12,P,65,DIASCOOTER,0,31,DIASCOOTER,MOTORCYCLE TYRES  12 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,AVON,1697605,35019LAVSIDECTRD,3.50-19 AVON SIDECARTRD 57L(U),3.5,,19,L,57,SIDECARTRIPD,0,41,SICARTRIPD,MOTORCYCLE TYRES  19 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,DUNLOP,627567,1307018VDUD408F,130/70R18 DLOP D408F 63V F TL,130,70,18,V,63,D408F,0,128.95,D408F,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,1575400,1957516R8PICHRON,195/75R16 PIR CHRONO 107/105R,195,75,16,R,107/105,CHRONO,0,70.25,CHRONO,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,F,0,C,72,2
tyres,Micheldever - Halifax,CONTINENTAL,2085910000,1308017SCOESCAPE,130/80-17 CON ESCAPE 65S(R)TT,130,80,17,S,65,CONTIESCAPE,0,50,ESCAPE,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,2086100000,909021SCOESCAPE,90/90-21 CON ESCAPE 54S (F) TT,90,90,21,S,54,ESCAPE,2,37,ESCAPE,MOTORCYCLE TYRES  21 INCH RIM & ABOVE,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,2400410000,1308018VCOGO,130/80-18 CONTI GO 66V TL R,130,80,18,V,66,COGO,0,64.72,COGO,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,,205815MIPA00,20/58R15 MICH PA00 RACE,,,,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,146083,206518MISA30,20/65R18 MICH SA30 RACE,20,65,18,,,,0,0,SA30,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,3544040000,2156516XCORCWINT,215/65R16 CONTI XCONT 98H WIN,215,65,16,H,98,COXCONWIN,0,78.2,COXCONWIN,CAR TYRES  WINTER 4X4,N,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,CONTINENTAL,3531580000,2354018VCOTS830P,235/40R18 CO TS830P 95V XL WIN,235,40,18,V,95,COTS830P,0,134.22,TS830,CAR TYRES  WINTER CAR,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,PIRELLI,2125800,1657013TPIP4CINT,165/70R13 PIR P4 CINT 79T,165,70,13,T,79,P4CINT,0,31.37,P4CINT,CAR TYRES  13 INCH RIM,N,N,C1,F,0,E,71,3
tyres,Micheldever - Halifax,MICHELIN,979248,246417MIRXRC001,24/64R17 MICH R X RC001 RACE,24,64,17,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,,195715MIS5B,19/57R15 MICH S5B RACE,,,,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,3531070000,2055017VCOTS8WIN,205/50R17 CON TS830P 93V XL WI,205,50,17,V,93,COTS830,0,104.81,TS830P,CAR TYRES  WINTER CAR,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,BRIDGESTONE,6506,2753519ZBRE050AS,275/35R19 BST RE050A SZ 96W,275,35,19,W,96,RE050A,0,162.09,RE050A,CAR TYRES  19 INCH RIM,N,N,C1,F,0,B,72,2
tyres,Micheldever - Halifax,BRIDGESTONE,,2055017VBRE050A1,205/50R17 BST RE050A1TZ 89VRFT,205,50,17,V,89,RE050A1,0,114.28,RE050A1,CAR TYRES  17 INCH RIM,N,Y,NA,,0,,0,0
