product_cat,name,pa_brand,,sku,short,description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating,,,,,,,,,,,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,71155,2653518ZBRS02N1,265/35ZR18,BST,S02,N1,265,35,18,ZR,,S02,2,117.9,S02,CAR,TYRES,,18,Inch,Rim,N,N,C1,G,0,B,73,3,,,,
tyres,Micheldever,-0,Halifax,PIRELLI,862100,2455017ZPIPZEROA,245/50R17,PIR,PZ,ASIM,99Y,245,50,17,Y,99,PZASIM,2,153.91,PZASIM,CAR,TYRES,,17,INCH,RIM,N,N,C1,F,0,B,73,3,,,
tyres,Micheldever,-0,Halifax,DUNLOP,651023,32518SDUK82,325-18,DLOP,K82,52S,TT,(U,325,80,18,S,52,K82,5,45.95,K82,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,133100,1209016HMEME77,120/90-16,MET,PRFCT,ME77,63H,R,120,90,16,H,63,ME77,2,43.38,ME77,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,PIRELLI,342300,1209017RPIMT21,120/90-17,PIR,MT21,64R,TT,(R),120,90,17,R,64,MT21,0,62.13,MT21,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,R,H,CLAYDON,,251210C4TRACT,25X12-10,DURO,HF243,MUD,&,SAND,25,12,10,,,,0,34.53,HF243,AGRICULTURAL,TYRES,,IMPLEMENT,TYRES,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,METZELER,1546300,27518PMEME22,2.75-18,METZ,ME22,RF,48P,U,TL,275,80,18,P,48,ME22,5,20.15,ME22,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,DUNLOP,651018,30018SDUK82,3.00-18,DLOP,K82,47S,TT,F/R,300,,18,S,47,K82,1,41.95,K82,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,DUNLOP,652958,32519PDUK70,3.25-19,DLOP,K70,54P,U,TT,325,,19,P,54,K70,1,49.95,K70,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,DUNLOP,651027,35018SDUK82,3.50-18,DLOP,K82,56S,TT,(U),350,80,18,S,56,K82,4,48.95,K82,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,131800,40018HMEME77,4.00-18,METZ,PERF,ME77,64H,R,400,,18,H,64,ME77,0,61.15,ME77,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,NA,,0,,0,0,,
tyres,Micheldever,-0,Halifax,MICHELIN,97047,40018MITRIALX11,4.00-18,MI,TRIAL,X11,64L(R)TLO,400,80,18,L,64,,36,64.91,X11,MOTORCYCLE,TYRES,,MOTORCYCLE,OFF,ROAD,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,PIRELLI,318600,909016SPIMT75,90/90-16,PIR,MT75,48P,TL,(F),90,90,16,P,48,MT75F,0,39.57,MT75,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,PIRELLI,318700,909018HPIMT75,90/90-18,PIR,MT75,51H,TL,(F),90,90,18,H,51,MT75F,0,66.34,MT75,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,PIRELLI,317500,1208016TPIMT75,120/80-16,PIR,MT75,60T,TL,(R),120,80,16,T,60,MT75R,0,67.25,MT75,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,PIRELLI,318100,1307017HPIMT75,130/70-17,PIR,MT75,62H,TL,(R),130,70,17,H,62,MT75,2,75.86,MT75,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,71233,2554017ZBRS02N3,255/40ZR17,BST,S02,KZ,N3,255,40,17,ZR,,S02,11,93.95,S02,CAR,TYRES,,17,INCH,RIM,N,N,C1,G,0,C,71,2,,,
tyres,Micheldever,-0,Halifax,PIRELLI,899100,2454518ZPIPZEROD,245/45R18,PIR,PZ,DIR,96Y,245,45,18,Y,96,PZDIR,3,126.6,PZDIR,CAR,TYRES,,18,Inch,Rim,N,N,C1,E,0,A,72,3,,,
tyres,Micheldever,-0,Halifax,FIRESTONE,25151,17514HFIF580,175R14,FSTONE,F580FS,88H,175,80,14,H,88,F580,34,34.85,F580,CAR,TYRES,,14,Inch,Rim,N,N,C1,G,0,C,71,3,,,,
tyres,Micheldever,-0,Halifax,KUMHO,2146033,18515R8BUKUMHO,185R15,KUMHO,856,103P,8PLY,185,80,15,P,103,856,1,42.25,856,LIGHT,TRUCK,TYRES,,15,INCH,RIM,N,N,C2,E,0,C,72,2,,
tyres,Micheldever,-0,Halifax,DUNLOP,656274,1009019HDUD401,100/90-19,DLOP,D401F,HARLEY57H,100,90,19,H,57,D401,3,75.95,D401,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,49757,1008017SBRBT39SS,100/80-17,BST,BT39SS,52S,(R),100,80,17,S,52,BT39SS,1,62.45,BT39SS,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,PIRELLI,732100,2554019ZPIPZEROA,255/40R19,PIR,PZ,ASIM,96Y,255,40,19,Y,96,PZASIM,0,136.9,PZASIM,CAR,TYRES,,19,INCH,RIM,N,N,C1,F,0,B,73,3,,,
tyres,Micheldever,-0,Halifax,GOODYEAR,551150,19514R8GOG28,195R14,GDYR,G28,8PR,106/104P,195,80,14,P,106/104,G28,4,56.02,G28,LIGHT,TRUCK,TYRES,,14,INCH,RIM,N,N,C2,C,0,C,70,2,,
tyres,Micheldever,-0,Halifax,PIRELLI,1044400,2356015ZPIP600,235/60R15,PIR,P600,98W,235,60,15,W,98,P600,0,155.24,P600,CAR,TYRES,,15,INCH,RIM,N,N,C1,F,0,C,73,3,,,,
tyres,Micheldever,-0,Halifax,PIRELLI,1087500,2254517ZPIP6000,225/45R17,PIR,P6000,91Y,225,45,17,Y,91,P6000,0,66.66,P6000,CAR,TYRES,,17,INCH,RIM,N,N,C1,F,0,C,72,3,,,,
tyres,Micheldever,-0,Halifax,DUNLOP,507099,2155015ZDUSP9000,215/50ZR15,DLOP,SP9000,MFS,215,50,15,ZR,,SP9000,2,91.83,SP9000,CAR,TYRES,,15,INCH,RIM,N,N,C1,G,0,C,70,2,,,,
tyres,Micheldever,-0,Halifax,PIRELLI,341400,809021PPIMT21,80/90-21,PIR,MT21,48P,TT,(F),80,90,21,P,48,MT21F,3,36.54,MT21,MOTORCYCLE,TYRES,,21,INCH,RIM,&,ABOVE,N,N,,,0,,0,0
tyres,Micheldever,-0,Halifax,PIRELLI,341000,1408018RPIMT21,140/80-18,PIR,MT21,70R,TT,(R),140,80,18,R,70,MT21R,1,65.86,MT21,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,3649,1656014HBR371,165/60R14,BST,B371,75H,165,60,14,H,75,B371,6,38.85,B371,CAR,TYRES,,14,Inch,Rim,N,N,C1,F,0,E,71,3,,,,
tyres,Micheldever,-0,Halifax,PIRELLI,341900,1208019RPIMT21,120/80-19,PIR,MT21,63R,TT,(R),120,80,19,R,63,MT21R,2,62.13,MT21,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,GOODYEAR,552706,1957015R8G26,195/70R15,GDYR,G26,CARGO,104R,195,70,15,R,104/102,G26,50,49.15,G26,LIGHT,TRUCK,TYRES,,15,INCH,RIM,N,N,C2,F,0,C,72,2,,
tyres,Micheldever,-0,Halifax,METZELER,843500,1308017HMEMEZ2,130/80R17,METZ,MEZ2,65H,TL,(R),130,80,17,H,65,MEZ2,0,59.81,MEZ2,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,
